OBJECTID,NOM_POBLAD,FUENTE,CÓDIGO,CAT_POBLAD,DIST,PROV,Departamento,CÓD_INT,CATEGORIA,X,Y,N_BUSQDA,DEP_NORM,n_hospitales_10km
123990,SAN LUIS DE TACSHA CURARAY,IGN,1601070055,CASERÍO,NAPO,MAYNAS,LORETO,2165,Centro Poblado Menor,-73.54184,-73.54184,SAN LUIS DE TACSHA CURARAY,LORETO,0
123991,SANTA MARIA DE LORETO,INEI,1601070056,CASERÍO,NAPO,MAYNAS,LORETO,2165,Centro Poblado Menor,-73.54244,-73.54244,SANTA MARIA DE LORETO,LORETO,0
123992,SANTA TERESA,INEI,1601070057,CASERÍO,NAPO,MAYNAS,LORETO,2165,Centro Poblado Menor,-73.5379,-73.5379,SANTA TERESA,LORETO,0
123993,NUEVA CHAMBIRA,INEI,1601070059,CASERÍO,NAPO,MAYNAS,LORETO,2165,Centro Poblado Menor,-73.52394,-73.52394,NUEVA CHAMBIRA,LORETO,0
123994,BELLAVISTA,IGN,1601070060,CASERÍO,NAPO,MAYNAS,LORETO,2165,Centro Poblado Menor,-73.50768,-73.50768,BELLAVISTA,LORETO,0
123995,VENCEDORES DE ZAPOTE,INEI,1601070061,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.36445,-73.36445,VENCEDORES DE ZAPOTE,LORETO,0
123996,PUERTO HUAMAN,INEI,1601070062,OTROS,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.21652,-73.21652,PUERTO HUAMAN,LORETO,0
123997,SAN FELIPE,IGN,1601070063,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.48721,-73.48721,SAN FELIPE,LORETO,0
123998,PALETA,INEI,1601070064,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.47675,-73.47675,PALETA,LORETO,0
123999,ESPERANZA,INEI,1601070065,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.46581,-73.46581,ESPERANZA,LORETO,0
124000,HUITOTOS DE NEGRO URCO,INEI,1601070066,OTROS,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.45785,-73.45785,HUITOTOS DE NEGRO URCO,LORETO,0
124001,LIBERTAD,IGN,1601070067,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.43359,-73.43359,LIBERTAD,LORETO,0
124002,NUEVA ANTIOQUIA,IGN,1601070068,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.43341,-73.43341,NUEVA ANTIOQUIA,LORETO,0
124003,NUEVA UNION,INEI,1601070069,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.26829,-73.26829,NUEVA UNION,LORETO,0
124004,SAN FRANCISCO DE PINSHA,INEI,1601070070,CASERÍO,NAPO,MAYNAS,LORETO,2265,Centro Poblado Menor,-73.27111,-73.27111,SAN FRANCISCO DE PINSHA,LORETO,0
124005,SAN PABLO DE TOTOLLA,INEI,1601090063,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2365,Centro Poblado Menor,-72.77096,-72.77096,SAN PABLO DE TOTOLLA,LORETO,0
124006,SAN MARTIN LIBERTADOR,INEI,1601090084,CASERÍO,PUTUMAYO    1/,MAYNAS,LORETO,2865,Centro Poblado Menor,-70.45488,-70.45488,SAN MARTIN LIBERTADOR,LORETO,0
124007,HUAPAPA,IGN,1601090086,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2865,Centro Poblado Menor,-70.42574,-70.42574,HUAPAPA,LORETO,0
124008,PRIMAVERA,IGN,1601090087,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2865,Centro Poblado Menor,-70.12323,-70.12323,PRIMAVERA,LORETO,0
124009,SANTA ROSA,IGN,1601090088,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2865,Centro Poblado Menor,-70.24502,-70.24502,SANTA ROSA,LORETO,0
124010,EL ALAMO,IGN,1601090089,OTROS,PUTUMAYO    1/,MAYNAS,LORETO,2865,Centro Poblado Menor,-70.0852,-70.0852,EL ALAMO,LORETO,0
